run_id,phase,model,platform,mode_or_effort,chat_context,condition,raw_file
B1,baseline,GPT-4.1-2025-04-14,Arena AI,,,baseline,02_baseline/raw/B1_GPT-4.1-2025-04-14.txt
B2,baseline,GPT-5 High,Arena AI,High,,baseline,02_baseline/raw/B2_GPT-5-High.txt
B3,baseline,GPT-5.1 High,Arena AI,High,,baseline,02_baseline/raw/B3_GPT-5.1-High.txt
B4,baseline,GPT-5.2 High,Arena AI,High,,baseline,02_baseline/raw/B4_GPT-5.2-High.txt
B5,baseline,GPT-5.6 Instant,ChatGPT,Instant,,baseline,02_baseline/raw/B5_GPT-5.6-Instant.txt
B6,baseline,GPT-5.6 Medium,ChatGPT,Medium,,baseline,02_baseline/raw/B6_GPT-5.6-Medium.txt
B7,baseline,GPT-5.6 High,ChatGPT,High,,baseline,02_baseline/raw/B7_GPT-5.6-High.txt
B8,baseline,Gemini 3.7 Flash,Gemini app,Default / no additional reasoning,,baseline,02_baseline/raw/B8_Gemini-3.7-Flash.txt
B9,baseline,Claude Opus 5 High,Claude app,High effort / default,,baseline,02_baseline/raw/B9_Claude-Opus-5-High.txt
R1,negative_steering,GPT-4.1-2025-04-14,Arena AI,,Project context not applicable,restricted / explicit negative steering,03_negative_steering/raw/R1_GPT-4.1-2025-04-14_Arena.txt
R2,negative_steering,GPT-5 High,Arena AI,High,Project context not applicable,restricted / explicit negative steering,03_negative_steering/raw/R2_GPT-5-High_Arena.txt
R3,negative_steering,GPT-5.1 High,Arena AI,High,Project context not applicable,restricted / explicit negative steering,03_negative_steering/raw/R3_GPT-5.1-High_Arena.txt
R4,negative_steering,GPT-5.2 High,Arena AI,High,Project context not applicable,restricted / explicit negative steering,03_negative_steering/raw/R4_GPT-5.2-High_Arena.txt
R5,negative_steering,GPT-5.6 High,ChatGPT,High,Project chat,restricted / explicit negative steering,03_negative_steering/raw/R5_GPT-5.6-High_ChatGPT-Project.txt
R6,negative_steering,GPT-5.6 Medium,ChatGPT,Medium,Project chat,restricted / explicit negative steering,03_negative_steering/raw/R6_GPT-5.6-Medium_ChatGPT-Project.txt
R7,negative_steering,GPT-5.6 Instant,ChatGPT,Instant,Project chat,restricted / explicit negative steering,03_negative_steering/raw/R7_GPT-5.6-Instant_ChatGPT-Project.txt
R8,negative_steering,GPT-5.6 Instant,ChatGPT,Instant,Temporary Chat outside project,restricted / explicit negative steering replication,03_negative_steering/raw/R8_GPT-5.6-Instant_Temporary-Chat.txt
R9,negative_steering,GPT-5.6 Medium,ChatGPT,Medium,Temporary Chat outside project,restricted / explicit negative steering replication,03_negative_steering/raw/R9_GPT-5.6-Medium_Temporary-Chat.txt
R10,negative_steering,GPT-5.6 High,ChatGPT,High,Temporary Chat outside project,restricted / explicit negative steering replication,03_negative_steering/raw/R10_GPT-5.6-High_Temporary-Chat.txt
